ID;Medicamento;Dosis;Presentación;Marca;Farmacía;Precio;Dirección;Comuna;Región
18087;ZITHROMAX;500 mg;6 COMPRIMIDOS RECUBIERTOS;PFIZER CHILE S.A.;Ahumada;15590;Independencia 779;Rancagua;O'higgins
18088;RAVOTRIL;0,5 mg;30 COMPRIMIDOS;ROCHE CHILE LTDA.;Ahumada;6790;Independencia 779;Rancagua;O'higgins
18089;RAVOTRIL;2 mg;30 COMPRIMIDOS;ROCHE CHILE LTDA.;Ahumada;14490;Independencia 779;Rancagua;O'higgins
18090;COZAAR;100 mg;30 COMPRIMIDOS RECUBIERTOS;MERCK SHARP & DOHME CHILE LTDA.;Ahumada;35390;Independencia 779;Rancagua;O'higgins
18091;ALTRULINE;100 mg;30 COMPRIMIDOS;ROERIG S.A.;Ahumada;71990;Independencia 779;Rancagua;O'higgins
18092;ALTRULINE;50 mg;30 COMPRIMIDOS RECUBIERTOS;ROERIG S.A.;Ahumada;42190;Independencia 779;Rancagua;O'higgins
18093;CELEBRA;200 mg;10 CÁPSULAS;PFIZER CHILE S.A.;Ahumada;17990;Independencia 779;Rancagua;O'higgins
18094;CELEBRA;200 mg;30 CÁPSULAS;PFIZER CHILE S.A.;Ahumada;44890;Independencia 779;Rancagua;O'higgins
18095;GLUCOPHAGE;850 mg;30 COMPRIMIDOS RECUBIERTOS;ROCHE CHILE LTDA.;Ahumada;11190;Independencia 779;Rancagua;O'higgins
18096;GLUCOPHAGE;850 mg;60 COMPRIMIDOS RECUBIERTOS;ROCHE CHILE LTDA.;Ahumada;21690;Independencia 779;Rancagua;O'higgins
18097;GLAFORNIL;850 mg;30 COMPRIMIDOS RECUBIERTOS;MERCK SHARP & DOHME CHILE LTDA.;Ahumada;12390;Independencia 779;Rancagua;O'higgins
18098;GLAFORNIL;850 mg;60 COMPRIMIDOS RECUBIERTOS;MERCK SHARP & DOHME CHILE LTDA.;Ahumada;18890;Independencia 779;Rancagua;O'higgins
18099;AERIUS;5 mg;30 COMPRIMIDOS RECUBIERTOS;SCHERING PLOUGH;Ahumada;18790;Independencia 779;Rancagua;O'higgins
18100;VIAGRA;50 mg;1 COMPRIMIDOS RECUBIERTOS;PFIZER CHILE S.A.;Ahumada;3590;Independencia 779;Rancagua;O'higgins
18101;VIAGRA;100 mg;1 COMPRIMIDOS RECUBIERTOS;PFIZER CHILE S.A.;Ahumada;17390;Independencia 779;Rancagua;O'higgins
18102;TANSTON;500 mg;10 COMPRIMIDOS;PFIZER CHILE S.A.;Ahumada;7490;Independencia 779;Rancagua;O'higgins
18103;CUROCEF;500 mg;14 COMPRIMIDOS RECUBIERTOS;GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.;Ahumada;54490;Independencia 779;Rancagua;O'higgins
18104;BAYCIP;500 mg;10 COMPRIMIDOS RECUBIERTOS;BAYER S.A.;Ahumada;27590;Independencia 779;Rancagua;O'higgins
18105;BAYCIP;500 mg;20 COMPRIMIDOS RECUBIERTOS;BAYER S.A.;Ahumada;33690;Independencia 779;Rancagua;O'higgins
18106;ARCOXIA;60 mg;14 COMPRIMIDOS RECUBIERTOS;MERCK SHARP & DOHME CHILE LTDA.;Ahumada;17790;Independencia 779;Rancagua;O'higgins
18107;STOCRIN;600 mg;30 COMPRIMIDOS RECUBIERTOS;MERCK SHARP & DOHME CHILE LTDA.;Ahumada;185190;Independencia 779;Rancagua;O'higgins
18108;ASPIRINA;500 mg;40 COMPRIMIDOS;BAYER S.A.;Ahumada;2490;Independencia 779;Rancagua;O'higgins
18109;ASPIRINA;100 mg;14 COMPRIMIDOS;BAYER S.A.;Ahumada;1990;Independencia 779;Rancagua;O'higgins
18110;ASPIRINA;100 mg;42 COMPRIMIDOS;BAYER S.A.;Ahumada;3990;Independencia 779;Rancagua;O'higgins
18111;LIPITOR;10 mg;30 COMPRIMIDOS RECUBIERTOS;PFIZER CHILE S.A.;Ahumada;47590;Independencia 779;Rancagua;O'higgins
18112;LIPITOR;10 mg;60 COMPRIMIDOS RECUBIERTOS;PFIZER CHILE S.A.;Ahumada;60590;Independencia 779;Rancagua;O'higgins
18113;ZYRTEC;10 mg;30 COMPRIMIDOS RECUBIERTOS;GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.;Ahumada;23490;Independencia 779;Rancagua;O'higgins
18114;LEXAPRO;10 mg;28 COMPRIMIDOS RECUBIERTOS;LUNDBECK;Ahumada;38490;Independencia 779;Rancagua;O'higgins
18115;MICROGYNON;150/30 mg;21 COMPRIMIDOS RECUBIERTOS;BAYER S.A.;Ahumada;15490;Independencia 779;Rancagua;O'higgins
18116;LIVERTOX;20 mg;20 COMPRIMIDOS;LABORATORIO BAGÓ DE CHILE S.A.;Ahumada;2290;Independencia 779;Rancagua;O'higgins
18117;AVELOX;400 mg;7 COMPRIMIDOS RECUBIERTOS;BAYER S.A.;Ahumada;51990;Independencia 779;Rancagua;O'higgins
18118;AVELOX;400 mg;10 COMPRIMIDOS RECUBIERTOS;BAYER S.A.;Ahumada;62990;Independencia 779;Rancagua;O'higgins
18119;EUTIROX;100 mg;50 COMPRIMIDOS;MERCK SHARP & DOHME CHILE LTDA.;Ahumada;8190;Independencia 779;Rancagua;O'higgins
18120;EUTIROX;100 mg;100 COMPRIMIDOS;MERCK SHARP & DOHME CHILE LTDA.;Ahumada;12990;Independencia 779;Rancagua;O'higgins
18121;EUTIROX;150 mg;50 COMPRIMIDOS;MERCK SHARP & DOHME CHILE LTDA.;Ahumada;13690;Independencia 779;Rancagua;O'higgins
18122;EUTIROX;50 mg;50 COMPRIMIDOS;MERCK SHARP & DOHME CHILE LTDA.;Ahumada;8690;Independencia 779;Rancagua;O'higgins
18123;EUTIROX;75 mg;50 COMPRIMIDOS;MERCK SHARP & DOHME CHILE LTDA.;Ahumada;9190;Independencia 779;Rancagua;O'higgins
18124;BETACAR;50 mg;20 COMPRIMIDOS;SANOFI-AVENTIS DE CHILE S.A.;Ahumada;11790;Independencia 779;Rancagua;O'higgins
18125;CERAZETTE;s/i;28 COMPRIMIDOS;MERCK S.A.;Ahumada;17290;Independencia 779;Rancagua;O'higgins
18126;CRESTOR;10 mg;30 COMPRIMIDOS RECUBIERTOS;ASTRAZENECA S.A.;Ahumada;37190;Independencia 779;Rancagua;O'higgins
18127;CRESTOR;20 mg;30 COMPRIMIDOS RECUBIERTOS;ASTRAZENECA S.A.;Ahumada;55390;Independencia 779;Rancagua;O'higgins
18128;DIFLUCAN;150 mg;4 CÁPSULAS;PFIZER CHILE S.A.;Ahumada;27990;Independencia 779;Rancagua;O'higgins
18129;DIGOXINA;0,25 mg;30 COMPRIMIDOS;LABORATORIO CHILE S.A.;Ahumada;2090;Independencia 779;Rancagua;O'higgins
18130;EBIXA;10 mg;56 COMPRIMIDOS RECUBIERTOS;LUNDBECK;Ahumada;94890;Independencia 779;Rancagua;O'higgins
18131;FLAGYL;500 mg;20 COMPRIMIDOS RECUBIERTOS;SANOFI-AVENTIS DE CHILE S.A.;Ahumada;16490;Independencia 779;Rancagua;O'higgins
18132;HIDRORONOL;50 mg;24 COMPRIMIDOS;ITF - LABOMED FARMACÉUTICA LTDA.;Ahumada;4490;Independencia 779;Rancagua;O'higgins
18133;KEPPRA;500 mg;30 COMPRIMIDOS RECUBIERTOS;GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.;Ahumada;28390;Independencia 779;Rancagua;O'higgins
18134;KEPPRA;500 mg;60 COMPRIMIDOS RECUBIERTOS;GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.;Ahumada;50490;Independencia 779;Rancagua;O'higgins
18135;KEPPRA;1000 mg;30 COMPRIMIDOS RECUBIERTOS;GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.;Ahumada;71490;Independencia 779;Rancagua;O'higgins
18136;MICARDIS;40 mg;28 COMPRIMIDOS;BOEHRINGER INGELHEIM LTDA.;Ahumada;36090;Independencia 779;Rancagua;O'higgins
18137;MACRODANTINA;50 mg;30 CÁPSULAS;BOEHRINGER INGELHEIM LTDA.;Ahumada;15590;Independencia 779;Rancagua;O'higgins
18138;MACRODANTINA;100 mg;40 CÁPSULAS;BOEHRINGER INGELHEIM LTDA.;Ahumada;17390;Independencia 779;Rancagua;O'higgins
18139;NEO‐SINTROM;4 mg;20 COMPRIMIDOS;NOVARTIS CHILE S.A.;Ahumada;33590;Independencia 779;Rancagua;O'higgins
18140;NEXIUM;40 mg;14 POLVO PARA SOLUCIÓN INYECTABLE;ASTRAZENECA S.A.;Ahumada;24890;Independencia 779;Rancagua;O'higgins
18141;NEXIUM;40 mg;28 POLVO PARA SOLUCIÓN INYECTABLE;ASTRAZENECA S.A.;Ahumada;41690;Independencia 779;Rancagua;O'higgins
18142;NORVASC;5 mg;60 COMPRIMIDOS;PFIZER CHILE S.A.;Ahumada;62690;Independencia 779;Rancagua;O'higgins
18143;PLAVIX;75 mg;28 COMPRIMIDOS RECUBIERTOS;SANOFI-AVENTIS DE CHILE S.A.;Ahumada;62790;Independencia 779;Rancagua;O'higgins
18144;SINGULAIR;5 mg;30 COMPRIMIDOS MASTICABLES;MERCK SHARP & DOHME CHILE LTDA.;Ahumada;75390;Independencia 779;Rancagua;O'higgins
18145;SINGULAIR;4 mg;30 COMPRIMIDOS MASTICABLES;MERCK SHARP & DOHME CHILE LTDA.;Ahumada;74790;Independencia 779;Rancagua;O'higgins
18146;TEGRETAL;200 mg;20 COMPRIMIDOS;NOVARTIS CHILE S.A.;Ahumada;21590;Independencia 779;Rancagua;O'higgins
18147;TEGRETAL;200 mg;60 COMPRIMIDOS;NOVARTIS CHILE S.A.;Ahumada;38630;Independencia 779;Rancagua;O'higgins
18148;YASMIN;s/i;21 COMPRIMIDOS;BAYER S.A.;Ahumada;23790;Independencia 779;Rancagua;O'higgins
18149;Actron;400 mg;10 CÁPSULAS BLANDAS;BAYER S.A.;Ahumada;3490;Independencia 779;Rancagua;O'higgins
18150;Aerolin LF;100 mcg;200 INH. BUCAL;GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.;Ahumada;16690;Independencia 779;Rancagua;O'higgins
18151;Amoval;1 gr;14 COMPRIMIDOS;LABORATORIOS SAVAL S.A.;Ahumada;12590;Independencia 779;Rancagua;O'higgins
18152;Amoxicilina;500 mg;6 COMPRIMIDOS;LABORATORIO CHILE S.A.;Ahumada;990;Independencia 779;Rancagua;O'higgins
18153;Amoxicilina;500 mg;21 COMPRIMIDOS;Pharma Genexx S.A.;Ahumada;3790;Independencia 779;Rancagua;O'higgins
18154;Anulette CD;0,15/0,03 mg;28 COMPRIMIDOS;LABORATORIOS SILESIA S.A.;Ahumada;6490;Independencia 779;Rancagua;O'higgins
18155;Belara;s/i;21 COMPRIMIDOS RECUBIERTOS;GRÜNENTHAL CHILENA LTDA.;Ahumada;21990;Independencia 779;Rancagua;O'higgins
18156;Cefalmin;s/i;10 COMPRIMIDOS;INSTITUTO SANITAS S.A.;Ahumada;1890;Independencia 779;Rancagua;O'higgins
18157;Ciclidon-20;s/i;21 GRAGEAS;GYNOPHARM;Ahumada;15990;Independencia 779;Rancagua;O'higgins
18158;Ciclomex-15;s/i;28 COMPRIMIDOS RECUBIERTOS;GYNOPHARM;Ahumada;13490;Independencia 779;Rancagua;O'higgins
18159;Dal;s/i;28 COMPRIMIDOS;GYNOPHARM;Ahumada;13490;Independencia 779;Rancagua;O'higgins
18160;Ecotrin;100 mg;28 COMPRIMIDOS;GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.;Ahumada;8790;Independencia 779;Rancagua;O'higgins
18161;Eurogesic Forte;550 mg;10 COMPRIMIDOS;LABORATORIOS SAVAL S.A.;Ahumada;3690;Independencia 779;Rancagua;O'higgins
18162;Femelle 20;s/i;28 COMPRIMIDOS;GYNOPHARM;Ahumada;14890;Independencia 779;Rancagua;O'higgins
18163;Fesema LF;100 mcg;200 INH. BUCAL;Etex Farmaceutica Limitada;Ahumada;14390;Independencia 779;Rancagua;O'higgins
18164;Gynera 75/20;s/i;21 COMPRIMIDOS RECUBIERTOS;BAYER S.A.;Ahumada;15890;Independencia 779;Rancagua;O'higgins
18165;Gynostat 20;s/i;21 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Ahumada;12790;Independencia 779;Rancagua;O'higgins
18166;Marvelon 20;s/i;21 COMPRIMIDOS;MERCK SHARP & DOHME CHILE LTDA.;Ahumada;15590;Independencia 779;Rancagua;O'higgins
18167;Microgynon Cd;s/i;28 COMPRIMIDOS;BAYER S.A.;Ahumada;8690;Independencia 779;Rancagua;O'higgins
18168;Migranol;s/i;10 COMPRIMIDOS;LABORATORIO BAGO S.A.;Ahumada;1690;Independencia 779;Rancagua;O'higgins
18169;Parox Meltab;500 mg;12 COMPRIMIDOS;LABORATORIOS SAVAL S.A.;Ahumada;5990;Independencia 779;Rancagua;O'higgins
18170;GLIBENCLAMIDA;5 mg;30 COMPRIMIDOS;LABORATORIOS ANDRÓMACO S.A.;Ahumada;390;1 Sur 7;Talca;Maule
18171;GLIBENCLAMIDA;5 mg;60 COMPRIMIDOS;LABORATORIOS ANDRÓMACO S.A.;Ahumada;1090;1 Sur 7;Talca;Maule
18172;AZITROMICINA;500 mg;3 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Ahumada;1490;1 Sur 7;Talca;Maule
18173;AZITROMICINA;500 mg;6 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Ahumada;2390;1 Sur 7;Talca;Maule
18174;EUROGESIC ADULTO;275 mg;10 COMPRIMIDOS RECUBIERTOS;EUROLAB LTDA.;Ahumada;1990;1 Sur 7;Talca;Maule
18175;EUROGESIC ADULTO;550 mg;10 COMPRIMIDOS RECUBIERTOS;EUROLAB LTDA.;Ahumada;5190;1 Sur 7;Talca;Maule
18176;EUROMICINA;500 mg;14 COMPRIMIDOS RECUBIERTOS;EUROLAB LTDA.;Ahumada;22690;1 Sur 7;Talca;Maule
18177;EUROMICINA;500 mg;20 COMPRIMIDOS RECUBIERTOS;EUROLAB LTDA.;Ahumada;22690;1 Sur 7;Talca;Maule
18178;CIBLEX;30 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS LAFI LTDA.;Ahumada;47590;1 Sur 7;Talca;Maule
18179;DIVARIL;30 mg;30 COMPRIMIDOS RECUBIERTOS;TECNOFARMA S.A.;Ahumada;38290;1 Sur 7;Talca;Maule
18180;TENSIOMAX;10 mg;20 COMPRIMIDOS RECUBIERTOS;LABORATORIO BAGÓ DE CHILE S.A.;Ahumada;5590;1 Sur 7;Talca;Maule
18181;LIVERTOX;20 mg;20 COMPRIMIDOS RECUBIERTOS;LABORATORIO BAGÓ DE CHILE S.A.;Ahumada;2290;1 Sur 7;Talca;Maule
18182;LOSAPRES;50 mg;30 COMPRIMIDOS RECUBIERTOS;PHARMA INVESTI DE CHILE S.A.;Ahumada;22990;1 Sur 7;Talca;Maule
18183;SYNDOL;30 mg/mL;5 SOLUCIÓN INYECTABLE;PHARMA INVESTI DE CHILE S.A.;Ahumada;16890;1 Sur 7;Talca;Maule
18184;SOMNO;10 mg;30 COMPRIMIDOS RECUBIERTOS;EUROLAB LTDA.;Ahumada;30990;1 Sur 7;Talca;Maule
18185;TREX;500 mg;3 COMPRIMIDOS RECUBIERTOS;EUROLAB LTDA.;Ahumada;13190;1 Sur 7;Talca;Maule
18186;TREX;500 mg;6 COMPRIMIDOS RECUBIERTOS;EUROLAB LTDA.;Ahumada;13190;1 Sur 7;Talca;Maule
18187;ALFIN;50 mg;5 COMPRIMIDOS RECUBIERTOS;INSTITUTO SANITAS S.A.;Ahumada;8990;1 Sur 7;Talca;Maule
18188;ALFIN;100 mg;1 COMPRIMIDOS RECUBIERTOS;INSTITUTO SANITAS S.A.;Ahumada;5190;1 Sur 7;Talca;Maule
18189;TRAVIATA;20 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Ahumada;41790;1 Sur 7;Talca;Maule
18190;MUS;500 mg;20 COMPRIMIDOS RECUBIERTOS;INTERPHARMA S.A.;Ahumada;5990;1 Sur 7;Talca;Maule
18191;D-HISTAPLUS;5 mg;30 COMPRIMIDOS;LABORATORIO PASTEUR S.A.;Ahumada;7490;1 Sur 7;Talca;Maule
18192;VIORA;s/i;21 COMPRIMIDOS RECUBIERTOS;EXELTIS CHILE S.p.A.;Ahumada;15290;1 Sur 7;Talca;Maule
18193;ASVENTOL;10 mg;30 COMPRIMIDOS;LABORATORIO CHILE S.A.;Ahumada;18295;1 Sur 7;Talca;Maule
18194;IBUPROFENO;400 mg;20 COMPRIMIDOS RECUBIERTOS;OPKO CHILE S.A.;Ahumada;1290;1 Sur 7;Talca;Maule
18195;DEPRAX;100 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS SAVAL S.A.;Ahumada;25090;1 Sur 7;Talca;Maule
18196;CEFADROXILO;500 mg;8 CÁPSULAS;LABORATORIOS ANDRÓMACO S.A.;Ahumada;1990;1 Sur 7;Talca;Maule
18197;NEOCLARITINE; 5 mg;30 COMPRIMIDOS RECUBIERTOS;MERCK SHARP & DOHME CHILE LTDA.;Ahumada;16990;1 Sur 7;Talca;Maule
18198;SPIRON;1 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Ahumada;29590;1 Sur 7;Talca;Maule
18199;FELSOL;150 mg;2 CÁPSULAS;LABORATORIO PASTEUR S.A.;Ahumada;8590;1 Sur 7;Talca;Maule
18200;FELSOL;150 mg;4 CÁPSULAS;LABORATORIO PASTEUR S.A.;Ahumada;12790;1 Sur 7;Talca;Maule
18201;LIFTER;100 mg;5 COMPRIMIDOS RECUBIERTOS;LABORATORIOS SAVAL S.A.;Ahumada;30590;1 Sur 7;Talca;Maule
18202;DUALTEN;12,5 mg;30 COMPRIMIDOS;EUROLAB LTDA.;Ahumada;17590;1 Sur 7;Talca;Maule
18203;ZOPICLONA; 7,5 mg;30 COMPRIMIDOS RECUBIERTOS;INTERPHARMA S.A.;Ahumada;2790;1 Sur 7;Talca;Maule
18204;CARBAMAZEPINA;200 mg;20 COMPRIMIDOS;LABORATORIOS ANDRÓMACO S.A.;Ahumada;2190;1 Sur 7;Talca;Maule
18205;DUALTEN;6,25 mg;30 COMPRIMIDOS;EUROLAB LTDA.;Ahumada;8290;1 Sur 7;Talca;Maule
18206;ENALTEN;20 mg;30 COMPRIMIDOS;EUROLAB LTDA.;Ahumada;21420;1 Sur 7;Talca;Maule
18207;SICADOL;500 mg;10 COMPRIMIDOS;SYNTHON CHILE LTDA.;Ahumada;4690;1 Sur 7;Talca;Maule
18208;SICADOL;500 mg;20 COMPRIMIDOS;SYNTHON CHILE LTDA.;Ahumada;4690;1 Sur 7;Talca;Maule
18209;ACTAN;20 mg;60 CÁPSULAS;EUROLAB LTDA.;Ahumada;33890;1 Sur 7;Talca;Maule
18210;ENALTEN;10 mg;30 COMPRIMIDOS;EUROLAB LTDA.;Ahumada;19490;1 Sur 7;Talca;Maule
18211;CARBAMAZEPINA;200 mg;20 COMPRIMIDOS;LABORATORIO CHILE S.A.;Ahumada;2190;1 Sur 7;Talca;Maule
18212;SULIX; 0,4 mg;30 COMPRIMIDOS DE LIBERACIÓN PROLONGADA;SYNTHON CHILE LTDA.;Ahumada;11990;1 Sur 7;Talca;Maule
18213;SULIX; 0,4 mg;60 COMPRIMIDOS DE LIBERACIÓN PROLONGADA;SYNTHON CHILE LTDA.;Ahumada;23990;1 Sur 7;Talca;Maule
18214;CLORFENAMINA MALEATO; 4 mg;20 COMPRIMIDOS;LABORATORIO CHILE S.A.;Ahumada;690;1 Sur 7;Talca;Maule
18215;SIBILLA;s/i;21 COMPRIMIDOS RECUBIERTOS;COMERCIAL GEDEON RICHTER (CHILE) LTDA.;Ahumada;7117;1 Sur 7;Talca;Maule
18216;LEVEVITAE;500 mg;30 COMPRIMIDOS RECUBIERTOS;GALENICUM HEALTH CHILE S.p.A.;Ahumada;16790;1 Sur 7;Talca;Maule
18217;ACNERAL;10 mg;30 CÁPSULAS BLANDAS;LABORATORIO CHILE S.A.;Ahumada;24690;1 Sur 7;Talca;Maule
18218;QUETIAPINA;300 mg;30 COMPRIMIDOS RECUBIERTOS;ASCEND LABORATORIES S.p.A.;Ahumada;29990;1 Sur 7;Talca;Maule
18219;SERTAC;100 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Ahumada;22490;1 Sur 7;Talca;Maule
18220;SERTRALINA;50 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Ahumada;2690;1 Sur 7;Talca;Maule
18221;SERTAC;50 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Ahumada;21190;1 Sur 7;Talca;Maule
18222;IBUPROFENO;600 mg;20 COMPRIMIDOS RECUBIERTOS;LABORATORIOS MDK S.A.;Ahumada;1590;1 Sur 7;Talca;Maule
18223;IBUFAS-T;600 mg;20 COMPRIMIDOS RECUBIERTOS;LABORATORIOS MDK S.A.;Ahumada;3190;1 Sur 7;Talca;Maule
18224;AMOLEX DUO 875/125;875/125;14 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Ahumada;22190;1 Sur 7;Talca;Maule
18225;AMOLEX DUO 875/125;875/125;20 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Ahumada;24590;1 Sur 7;Talca;Maule
18226;METFORMINA CLORHIDRATO;850 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS MDK S.A.;Ahumada;2290;1 Sur 7;Talca;Maule
18227;METFORMINA CLORHIDRATO;850 mg;60 COMPRIMIDOS RECUBIERTOS;LABORATORIOS MDK S.A.;Ahumada;4690;1 Sur 7;Talca;Maule
18228;ORALNE; 5 mg;30 CÁPSULAS BLANDAS;DEUTSCHE PHARMA S.A.;Ahumada;21090;1 Sur 7;Talca;Maule
18229;CIPROFLOXACINO;500 mg;6 COMPRIMIDOS RECUBIERTOS;EUROFARMA CHILE S.A.;Ahumada;890;1 Sur 7;Talca;Maule
18230;ATORVASTATINA; 10 mg;30 COMPRIMIDOS RECUBIERTOS;OPKO CHILE S.A.;Ahumada;2290;1 Sur 7;Talca;Maule
18231;MIO-RELAX;10 mg;10 COMPRIMIDOS RECUBIERTOS;EUROFARMA CHILE S.A.;Ahumada;3490;1 Sur 7;Talca;Maule
18232;MIO-RELAX;10 mg;20 COMPRIMIDOS RECUBIERTOS;EUROFARMA CHILE S.A.;Ahumada;4190;1 Sur 7;Talca;Maule
18233;IBUPROFENO;600 mg;20 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Ahumada;1590;1 Sur 7;Talca;Maule
18234;HIPOGLUCIN;750 mg;30 COMPRIMIDOS DE LIBERACIÓN PROLONGADA;LABORATORIO CHILE S.A.;Ahumada;11990;1 Sur 7;Talca;Maule
18235;HIPOGLUCIN;750 mg;60 COMPRIMIDOS DE LIBERACIÓN PROLONGADA;LABORATORIO CHILE S.A.;Ahumada;23990;1 Sur 7;Talca;Maule
18236;FAMOTIDINA;40 mg;10 COMPRIMIDOS RECUBIERTOS;OPKO CHILE S.A.;Ahumada;790;1 Sur 7;Talca;Maule
18237;NEURYL; 0,5 mg;30 COMPRIMIDOS;LABORATORIO BAGÓ DE CHILE S.A.;Ahumada;6690;1 Sur 7;Talca;Maule
18238;VASTUS;5 mg;30 COMPRIMIDOS RECUBIERTOS;TECNOFARMA S.A.;Ahumada;15490;1 Sur 7;Talca;Maule
18239;IBANOX;150 mg;1 COMPRIMIDOS RECUBIERTOS;LABORATORIO PASTEUR S.A.;Ahumada;21090;1 Sur 7;Talca;Maule
18240;RISPYL; 3 mg;20 COMPRIMIDOS RECUBIERTOS;AXON PHARMA S.p.A.;Ahumada;26290;1 Sur 7;Talca;Maule
18241;ENALAPRIL MALEATO;10 mg;20 COMPRIMIDOS;OPKO CHILE S.A.;Ahumada;590;1 Sur 7;Talca;Maule
18242;DOMPERIDONA;10 mg;20 COMPRIMIDOS;OPKO CHILE S.A.;Ahumada;1190;1 Sur 7;Talca;Maule
18243;NEO-ALLEDRYL; 5 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS PRATER S.A.;Ahumada;3990;1 Sur 7;Talca;Maule
18244;BIOPSOL;0,25 mg;30 COMPRIMIDOS;LABORATORIOS RECALCINE S.A.;Ahumada;13390;1 Sur 7;Talca;Maule
18245;SIXACINA;10 mg;30 COMPRIMIDOS RECUBIERTOS;SYNTHON CHILE LTDA.;Ahumada;7590;1 Sur 7;Talca;Maule
18246;LOWDEN;40 mg;30 COMPRIMIDOS RECUBIERTOS;EUROLAB LTDA.;Ahumada;28490;1 Sur 7;Talca;Maule
18247;MAILEN;5 mg;30 COMPRIMIDOS RECUBIERTOS;PHARMA INVESTI DE CHILE S.A.;Ahumada;13290;1 Sur 7;Talca;Maule
18248;ALEXIA FORTE;180 mg;10 COMPRIMIDOS RECUBIERTOS;LABORATORIOS SAVAL S.A.;Ahumada;12990;1 Sur 7;Talca;Maule
18249;ALEXIA FORTE;180 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS SAVAL S.A.;Ahumada;25790;1 Sur 7;Talca;Maule
18250;ZENTIUS;20 mg;30 COMPRIMIDOS RECUBIERTOS;PHARMA INVESTI DE CHILE S.A.;Ahumada;19390;1 Sur 7;Talca;Maule
18251;TOPREL;100 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS LAFI LTDA.;Ahumada;59390;1 Sur 7;Talca;Maule
18252;ECTIBAN;10 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Ahumada;15490;1 Sur 7;Talca;Maule
18253;VALAPLEX;80 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Ahumada;16990;1 Sur 7;Talca;Maule
18254;VALAPLEX;160 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Ahumada;17090;1 Sur 7;Talca;Maule
18255;PROCION;20 mg;20 COMPRIMIDOS;MEDIPHARM LTDA.;Ahumada;6690;1 Sur 7;Talca;Maule
18256;HIPOLIXAN;40 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIO PASTEUR S.A.;Ahumada;22690;1 Sur 7;Talca;Maule
18257;QUETIDIN;25 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS RECALCINE S.A.;Ahumada;25690;1 Sur 7;Talca;Maule
18258;QUETIDIN;100 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS RECALCINE S.A.;Ahumada;42290;1 Sur 7;Talca;Maule
18259;HIDROCLOROTIAZIDA;50 mg;20 COMPRIMIDOS;LABORATORIO CHILE S.A.;Ahumada;1290;1 Sur 7;Talca;Maule
18260;IPRAN;10 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS RECALCINE S.A.;Ahumada;26490;1 Sur 7;Talca;Maule
18261;IPRAN;20 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS RECALCINE S.A.;Ahumada;47390;1 Sur 7;Talca;Maule
18262;LINFONEX;500 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS RECALCINE S.A.;Ahumada;63890;1 Sur 7;Talca;Maule
18263;CARVEDILOL;25 mg;30 COMPRIMIDOS;LABORATORIO CHILE S.A.;Ahumada;4990;1 Sur 7;Talca;Maule
18264;CEUMID;500 mg;30 COMPRIMIDOS RECUBIERTOS;PHARMA INVESTI DE CHILE S.A.;Ahumada;24990;1 Sur 7;Talca;Maule
